date,deals,paid_deals,revenue_cash,revenue_contract,spend,calls
2023-09-30,44.0,1.0,350.0,3500.0,271.07,155.0
2023-10-01,10.0,0.0,0.0,0.0,330.84,92.0
2023-10-02,95.0,4.0,2350.0,25500.0,259.23,332.0
2023-10-03,42.0,2.0,2300.0,3500.0,300.35,186.0
2023-10-04,53.0,2.0,2000.0,3000.0,337.86,281.0
2023-10-05,78.0,5.0,3700.0,40000.0,623.51,309.0
2023-10-06,54.0,2.0,2000.0,22500.0,397.66,208.0
2023-10-07,42.0,0.0,0.0,0.0,409.06,101.0
2023-10-08,42.0,3.0,2450.0,4500.0,295.87,73.0
2023-10-09,52.0,5.0,6850.0,40000.0,639.74,202.0
2023-10-10,48.0,5.0,4500.0,48500.0,1049.79,203.0
2023-10-11,54.0,3.0,3000.0,33000.0,306.37,334.0
2023-10-12,53.0,3.0,1850.0,19500.0,290.71,293.0
2023-10-13,62.0,1.0,350.0,3500.0,285.93,265.0
2023-10-14,43.0,4.0,2850.0,28500.0,268.88,96.0
2023-10-15,50.0,4.0,3000.0,34000.0,299.29,115.0
2023-10-16,49.0,2.0,1350.0,15000.0,283.59,242.0
2023-10-17,52.0,2.0,1000.0,11000.0,327.68,236.0
2023-10-18,54.0,5.0,5700.0,32500.0,317.62,226.0
2023-10-19,38.0,3.0,1300.0,14500.0,354.25,166.0
2023-10-20,100.0,7.0,5300.0,57000.0,604.79,275.0
2023-10-21,64.0,1.0,0.0,0.0,280.74,69.0
2023-10-22,38.0,1.0,1000.0,11000.0,360.48,56.0
2023-10-23,55.0,1.0,1000.0,11000.0,331.24,348.0
2023-10-24,44.0,0.0,0.0,0.0,337.65999999999997,400.0
2023-10-25,44.0,4.0,1700.0,18500.0,340.8,255.0
2023-10-26,63.0,6.0,4550.0,44000.0,352.7,339.0
2023-10-27,57.0,5.0,7000.0,48000.0,299.31,269.0
2023-10-28,43.0,2.0,2000.0,23000.0,369.32,229.0
2023-10-29,43.0,1.0,0.0,0.0,346.09,251.0
2023-10-30,48.0,2.0,2000.0,22000.0,362.19,296.0
2023-10-31,28.0,1.0,1000.0,11500.0,444.23,355.0
2023-11-01,67.0,3.0,1650.0,18500.0,465.03,261.0
2023-11-02,64.0,3.0,2350.0,25500.0,306.13,221.0
2023-11-03,68.0,4.0,4000.0,44500.0,329.24,271.0
2023-11-04,42.0,5.0,5500.0,44000.0,300.65,319.0
2023-11-05,41.0,2.0,1350.0,14000.0,342.21000000000004,144.0
2023-11-06,51.0,4.0,4000.0,44000.0,504.69,146.0
2023-11-07,49.0,2.0,2000.0,22500.0,337.0,264.0
2023-11-08,35.0,3.0,2200.0,19000.0,357.77,183.0
2023-11-09,48.0,4.0,3350.0,37000.0,406.12,217.0
2023-11-10,48.0,5.0,3050.0,33000.0,447.18,231.0
2023-11-11,30.0,0.0,0.0,0.0,290.27,147.0
2023-11-12,29.0,1.0,350.0,3500.0,371.05,110.0
2023-11-13,52.0,3.0,3500.0,22000.0,530.3299999999999,341.0
2023-11-14,79.0,5.0,5000.0,49000.0,706.17,255.0
2023-11-15,65.0,3.0,3000.0,34000.0,410.4,264.0
2023-11-16,56.0,0.0,0.0,0.0,386.46,298.0
2023-11-17,117.0,1.0,0.0,0.0,290.52,235.0
2023-11-18,135.0,1.0,300.0,4000.0,1240.1200000000001,160.0
2023-11-19,136.0,6.0,5350.0,58500.0,301.75,146.0
2023-11-20,132.0,7.0,6350.0,61000.0,313.37,252.0
2023-11-21,157.0,6.0,20000.0,37200.0,407.08,411.0
2023-11-22,112.0,5.0,2950.0,27500.0,233.5,281.0
2023-11-23,81.0,8.0,7750.0,55500.0,254.17,275.0
2023-11-24,28.0,3.0,3000.0,33000.0,147.03,319.0
2023-11-25,22.0,3.0,2300.0,20500.0,154.96,130.0
2023-11-26,29.0,8.0,6300.0,73500.0,157.79,44.0
2023-11-27,33.0,3.0,3000.0,33000.0,196.74,250.0
2023-11-28,39.0,2.0,2000.0,22000.0,186.65,338.0
2023-11-29,52.0,3.0,3000.0,33500.0,287.59,338.0
2023-11-30,50.0,1.0,300.0,4000.0,228.76999999999998,319.0
2023-12-01,38.0,4.0,2300.0,26000.0,180.28,307.0
2023-12-02,37.0,2.0,2000.0,23000.0,270.55,120.0
2023-12-03,19.0,2.0,2000.0,16000.0,194.19,82.0
2023-12-04,52.0,4.0,3300.0,37000.0,352.61,205.0
2023-12-05,59.0,2.0,2000.0,14000.0,246.54000000000002,296.0
2023-12-06,65.0,7.0,7000.0,71000.0,661.73,308.0
2023-12-07,89.0,3.0,3000.0,33000.0,518.31,246.0
2023-12-08,122.0,3.0,1500.0,17000.0,383.18,296.0
2023-12-09,80.0,3.0,2300.0,19000.0,312.40000000000003,81.0
2023-12-10,82.0,7.0,3400.0,40500.0,323.96,107.0
2023-12-11,87.0,3.0,2300.0,25500.0,521.43,253.0
2023-12-12,123.0,8.0,5800.0,66000.0,488.76,448.0
2023-12-13,76.0,4.0,3300.0,37500.0,332.95,289.0
2023-12-14,80.0,7.0,5900.0,48000.0,759.77,336.0
2023-12-15,71.0,2.0,2000.0,22000.0,339.65,258.0
2023-12-16,44.0,5.0,4500.0,32000.0,325.4,224.0
2023-12-17,52.0,2.0,2000.0,22000.0,349.57,122.0
2023-12-18,36.0,4.0,3200.0,35000.0,332.43,353.0
2023-12-19,83.0,8.0,7000.0,77000.0,796.47,310.0
2023-12-20,63.0,4.0,3300.0,31000.0,334.1,321.0
2023-12-21,62.0,4.0,4000.0,44000.0,400.90999999999997,301.0
2023-12-22,49.0,1.0,1000.0,5000.0,420.23,237.0
2023-12-23,43.0,0.0,0.0,0.0,1101.63,101.0
2023-12-24,53.0,2.0,1300.0,15000.0,349.25,174.0
2023-12-25,54.0,2.0,2000.0,22000.0,329.87,81.0
2023-12-26,44.0,1.0,1000.0,11000.0,303.56,110.0
2023-12-27,45.0,3.0,3300.0,18000.0,281.69,362.0
2023-12-28,43.0,3.0,1300.0,18500.0,325.34,388.0
2023-12-29,37.0,4.0,2600.0,24000.0,215.52,283.0
2023-12-30,20.0,1.0,1000.0,11000.0,228.17,99.0
2023-12-31,2.0,0.0,0.0,0.0,205.57999999999998,1.0
2024-01-01,63.0,3.0,3000.0,33000.0,226.5,5.0
2024-01-02,50.0,4.0,3300.0,37000.0,217.91,207.0
2024-01-03,69.0,4.0,7300.0,23000.0,285.32,255.0
2024-01-04,65.0,6.0,7300.0,42000.0,224.25,312.0
2024-01-05,51.0,1.0,1000.0,11000.0,225.26,282.0
2024-01-06,36.0,1.0,0.0,3500.0,211.68,107.0
2024-01-07,53.0,2.0,1000.0,14500.0,227.84,40.0
2024-01-08,79.0,5.0,3600.0,40000.0,227.88,332.0
2024-01-09,52.0,4.0,3200.0,29500.0,398.78,377.0
2024-01-10,61.0,2.0,1300.0,15000.0,306.87,478.0
2024-01-11,82.0,5.0,3300.0,40500.0,528.24,306.0
2024-01-12,89.0,2.0,2000.0,16000.0,527.68,361.0
2024-01-13,50.0,2.0,1300.0,15000.0,355.53000000000003,101.0
2024-01-14,56.0,1.0,1000.0,11000.0,331.25,76.0
2024-01-15,134.0,4.0,4000.0,44000.0,710.26,330.0
2024-01-16,107.0,7.0,15500.0,46200.0,352.78,482.0
2024-01-17,72.0,4.0,1000.0,12000.0,374.11,423.0
2024-01-18,83.0,4.0,4300.0,28000.0,335.53999999999996,399.0
2024-01-19,72.0,6.0,6200.0,38000.0,362.73,391.0
2024-01-20,61.0,3.0,1650.0,17500.0,325.02,214.0
2024-01-21,54.0,2.0,2000.0,22000.0,335.39,181.0
2024-01-22,78.0,5.0,2200.0,22000.0,728.07,330.0
2024-01-23,78.0,6.0,4800.0,28000.0,337.28000000000003,431.0
2024-01-24,84.0,5.0,5300.0,35000.0,731.96,503.0
2024-01-25,73.0,5.0,6600.0,29500.0,331.01,514.0
2024-01-26,152.0,3.0,2500.0,24500.0,778.42,340.0
2024-01-27,53.0,2.0,1200.0,13000.0,392.69,197.0
2024-01-28,51.0,4.0,4000.0,44000.0,434.15,262.0
2024-01-29,66.0,3.0,2300.0,26000.0,375.51,436.0
2024-01-30,81.0,6.0,9500.0,31000.0,1020.1700000000001,559.0
2024-01-31,88.0,3.0,6000.0,20000.0,363.49,573.0
2024-02-01,117.0,3.0,5500.0,10000.0,344.39,349.0
2024-02-02,96.0,3.0,2300.0,14000.0,414.95,352.0
2024-02-03,71.0,1.0,1000.0,11000.0,430.05,256.0
2024-02-04,85.0,2.0,600.0,6000.0,433.58,236.0
2024-02-05,92.0,2.0,2000.0,10000.0,462.3,248.0
2024-02-06,77.0,3.0,2300.0,20000.0,414.32,376.0
2024-02-07,164.0,3.0,5000.0,16500.0,1215.75,433.0
2024-02-08,125.0,1.0,1000.0,11000.0,397.26,424.0
2024-02-09,41.0,3.0,3000.0,12000.0,306.08,383.0
2024-02-10,22.0,3.0,2000.0,19000.0,298.4,86.0
2024-02-11,36.0,1.0,1000.0,2000.0,314.13,142.0
2024-02-12,40.0,3.0,4000.0,24500.0,310.03000000000003,253.0
2024-02-13,49.0,1.0,1000.0,11000.0,376.66999999999996,380.0
2024-02-14,59.0,4.0,3300.0,37500.0,392.56,442.0
2024-02-15,68.0,2.0,1200.0,7500.0,282.68,369.0
2024-02-16,64.0,2.0,2000.0,16000.0,253.7,265.0
2024-02-17,37.0,0.0,0.0,0.0,287.36,156.0
2024-02-18,40.0,2.0,3000.0,14000.0,270.27,167.0
2024-02-19,116.0,1.0,1000.0,11000.0,603.38,318.0
2024-02-20,87.0,1.0,1000.0,11000.0,269.71999999999997,474.0
2024-02-21,79.0,6.0,9300.0,24500.0,292.91,473.0
2024-02-22,102.0,6.0,6000.0,37500.0,596.34,416.0
2024-02-23,94.0,3.0,4000.0,18000.0,589.1899999999999,362.0
2024-02-24,60.0,4.0,4000.0,29500.0,394.33,231.0
2024-02-25,76.0,3.0,3000.0,27000.0,398.92,180.0
2024-02-26,88.0,3.0,4800.0,18500.0,351.21,339.0
2024-02-27,79.0,1.0,1000.0,11500.0,332.89,552.0
2024-02-28,62.0,3.0,1600.0,19000.0,378.81,522.0
2024-02-29,58.0,2.0,2000.0,16000.0,1064.65,415.0
2024-03-01,56.0,6.0,5800.0,35500.0,369.65,323.0
2024-03-02,44.0,1.0,1000.0,2000.0,365.92,79.0
2024-03-03,66.0,2.0,2000.0,13000.0,342.03000000000003,136.0
2024-03-04,67.0,3.0,2300.0,14000.0,826.47,333.0
2024-03-05,90.0,5.0,3600.0,35000.0,306.83,501.0
2024-03-06,90.0,7.0,5800.0,60000.0,796.76,411.0
2024-03-07,66.0,2.0,4500.0,14000.0,357.51,489.0
2024-03-08,46.0,1.0,1000.0,11500.0,347.21,114.0
2024-03-09,66.0,2.0,2000.0,16000.0,340.26,125.0
2024-03-10,61.0,0.0,0.0,0.0,399.02,136.0
2024-03-11,80.0,7.0,8800.0,50000.0,744.74,383.0
2024-03-12,80.0,5.0,4800.0,31000.0,1125.99,394.0
2024-03-13,62.0,3.0,9000.0,9000.0,324.48,433.0
2024-03-14,89.0,7.0,8800.0,57000.0,487.93,429.0
2024-03-15,72.0,1.0,300.0,4000.0,329.61,374.0
2024-03-16,51.0,3.0,3000.0,27000.0,310.14,122.0
2024-03-17,55.0,1.0,1000.0,11000.0,328.57,159.0
2024-03-18,87.0,4.0,4000.0,42000.0,424.07,446.0
2024-03-19,108.0,9.0,8400.0,62000.0,761.0899999999999,442.0
2024-03-20,69.0,1.0,1000.0,2000.0,346.69,543.0
2024-03-21,74.0,4.0,3300.0,25000.0,417.9,400.0
2024-03-22,75.0,4.0,3300.0,30000.0,452.59999999999997,354.0
2024-03-23,45.0,1.0,1000.0,9000.0,497.73,199.0
2024-03-24,57.0,1.0,1000.0,5000.0,483.49,224.0
2024-03-25,79.0,4.0,3300.0,22000.0,463.53000000000003,396.0
2024-03-26,73.0,0.0,0.0,0.0,524.51,453.0
2024-03-27,98.0,2.0,500.0,6500.0,770.75,475.0
2024-03-28,88.0,8.0,5900.0,27000.0,592.0600000000001,524.0
2024-03-29,102.0,4.0,13000.0,18000.0,1124.82,347.0
2024-03-30,73.0,1.0,1000.0,11000.0,575.67,196.0
2024-03-31,83.0,1.0,2000.0,3000.0,685.35,141.0
2024-04-01,72.0,2.0,1300.0,15500.0,607.94,267.0
2024-04-02,96.0,5.0,18300.0,42500.0,676.16,677.0
2024-04-03,98.0,5.0,5000.0,34000.0,640.62,572.0
2024-04-04,100.0,1.0,1000.0,11000.0,622.3299999999999,461.0
2024-04-05,78.0,1.0,1000.0,11000.0,590.21,459.0
2024-04-06,50.0,3.0,2600.0,11000.0,525.08,312.0
2024-04-07,81.0,0.0,0.0,0.0,698.3199999999999,105.0
2024-04-08,100.0,7.0,5301.0,48001.0,681.02,503.0
2024-04-09,84.0,3.0,2300.0,26500.0,717.33,683.0
2024-04-10,93.0,1.0,3500.0,3000.0,715.67,666.0
2024-04-11,225.0,3.0,2300.0,25500.0,655.27,624.0
2024-04-12,164.0,6.0,4100.0,39500.0,664.77,430.0
2024-04-13,127.0,0.0,0.0,0.0,1201.64,144.0
2024-04-14,124.0,1.0,11000.0,11000.0,688.84,188.0
2024-04-15,141.0,0.0,0.0,0.0,951.88,425.0
2024-04-16,266.0,4.0,5800.0,29500.0,847.36,625.0
2024-04-17,157.0,3.0,13000.0,27000.0,767.63,492.0
2024-04-18,85.0,3.0,13000.0,26500.0,598.16,448.0
2024-04-19,75.0,3.0,3000.0,21000.0,595.44,424.0
2024-04-20,68.0,1.0,1000.0,11000.0,596.99,297.0
2024-04-21,85.0,2.0,12000.0,22000.0,637.69,370.0
2024-04-22,110.0,6.0,10000.0,48000.0,1149.74,544.0
2024-04-23,95.0,5.0,5300.0,40000.0,591.58,592.0
2024-04-24,84.0,3.0,2500.0,13500.0,665.85,508.0
2024-04-25,74.0,1.0,1000.0,11000.0,694.57,584.0
2024-04-26,66.0,1.0,300.0,4000.0,576.02,356.0
2024-04-27,59.0,0.0,0.0,0.0,530.93,290.0
2024-04-28,68.0,1.0,11500.0,11000.0,618.12,321.0
2024-04-29,90.0,3.0,3000.0,27000.0,946.73,388.0
2024-04-30,67.0,2.0,1500.0,9500.0,510.76,573.0
2024-05-01,83.0,1.0,1000.0,11000.0,1369.3200000000002,147.0
2024-05-02,133.0,3.0,3000.0,18000.0,528.09,463.0
2024-05-03,63.0,2.0,1300.0,15000.0,483.08,377.0
2024-05-04,72.0,1.0,11500.0,11000.0,426.8,162.0
2024-05-05,56.0,2.0,12500.0,16000.0,493.51,269.0
2024-05-06,99.0,2.0,2000.0,22000.0,596.35,305.0
2024-05-07,84.0,0.0,0.0,0.0,446.38,452.0
2024-05-08,72.0,4.0,3500.0,37500.0,461.49,490.0
2024-05-09,68.0,3.0,12100.0,24500.0,523.1899999999999,200.0
2024-05-10,64.0,4.0,7500.0,25500.0,677.83,439.0
2024-05-11,56.0,1.0,1000.0,11000.0,457.12,172.0
2024-05-12,75.0,2.0,12500.0,22000.0,605.4,306.0
2024-05-13,86.0,2.0,1500.0,16000.0,445.53,484.0
2024-05-14,66.0,0.0,0.0,0.0,443.12,646.0
2024-05-15,48.0,3.0,2300.0,24000.0,275.93,592.0
2024-05-16,66.0,5.0,5000.0,35500.0,535.13,610.0
2024-05-17,51.0,3.0,4500.0,9500.0,435.11,405.0
2024-05-18,44.0,2.0,2000.0,22000.0,492.01,209.0
2024-05-19,39.0,1.0,500.0,4500.0,354.96000000000004,148.0
2024-05-20,35.0,0.0,0.0,0.0,339.32,258.0
2024-05-21,45.0,4.0,6800.0,30500.0,524.82,534.0
2024-05-22,40.0,1.0,11000.0,11000.0,578.55,640.0
2024-05-23,51.0,2.0,2000.0,22000.0,442.75,500.0
2024-05-24,52.0,3.0,4500.0,12000.0,382.3,308.0
2024-05-25,32.0,2.0,1300.0,15000.0,349.75,126.0
2024-05-26,44.0,2.0,1500.0,14500.0,403.57,140.0
2024-05-27,49.0,0.0,0.0,0.0,529.1899999999999,431.0
2024-05-28,65.0,2.0,1000.0,8000.0,791.44,463.0
2024-05-29,69.0,2.0,5000.0,15000.0,577.14,515.0
2024-05-30,83.0,2.0,2000.0,20000.0,1284.22,595.0
2024-05-31,94.0,3.0,2500.0,11000.0,958.91,461.0
2024-06-01,75.0,1.0,1000.0,9000.0,465.07,191.0
2024-06-02,51.0,0.0,0.0,0.0,456.71,137.0
2024-06-03,74.0,4.0,9500.0,12500.0,512.74,454.0
2024-06-04,72.0,2.0,4600.0,8500.0,508.59000000000003,521.0
2024-06-05,85.0,3.0,1600.0,19000.0,1009.11,575.0
2024-06-06,59.0,4.0,6500.0,34500.0,437.40999999999997,569.0
2024-06-07,57.0,2.0,1300.0,15000.0,774.1899999999999,465.0
2024-06-08,46.0,1.0,1000.0,11000.0,447.94,316.0
2024-06-09,7.0,0.0,0.0,0.0,425.62,352.0
2024-06-10,191.0,4.0,4000.0,44000.0,500.72,357.0
2024-06-11,141.0,1.0,1000.0,9000.0,521.86,358.0
2024-06-12,92.0,0.0,0.0,0.0,573.8,489.0
2024-06-13,86.0,0.0,0.0,0.0,666.85,439.0
2024-06-14,110.0,0.0,0.0,0.0,488.83,594.0
2024-06-15,72.0,3.0,2000.0,18000.0,486.51,140.0
2024-06-16,69.0,0.0,0.0,0.0,543.82,331.0
2024-06-17,144.0,0.0,0.0,0.0,556.66,392.0
2024-06-18,122.0,0.0,0.0,0.0,634.58,379.0
2024-06-19,49.0,0.0,0.0,0.0,543.52,569.0
2024-06-20,43.0,0.0,0.0,0.0,475.08,591.0
2024-06-21,28.0,0.0,0.0,0.0,341.34,276.0
,2.0,0.0,0.0,0.0,0.0,0.0
